IDENTIFIANT;	NOM;	QUANTITE;	PRIX D'ACHAT;	PREMIER PRIX DE VENTE;	DEUXIEME PRIX DE VENTE
47c;	cylinbloc demi chassi;	62.0;	100;	200;	200
48c;	cylinbloc du guidon;	12.0;	100;	200;	200
46c;	cylinbloc pour la roue;	124.0;	100;	200;	200
33c;	cylindre CG 150 DAHE;	1.0;	7500;	10000;	9000
1c;	cylindre CG 150 JHSY;	4.0;	7500;	10000;	9000
3d;	demarreur automtique;	4.0;	4300;	6000;	7500
7d;	démarreur droit;	3.0;	900;	1300;	1200
8d;	démarreur S JHSY;	5.0;	1000;	1300;	1200
6d;	démarreur senke JHSY;	8.0;	900;	1300;	1200
9d;	démarreur tryicyle;	2.0;	1500;	2500;	2500
13d;	demi arbre BAJA;	5.0;	500;	1000;	800
14d;	demi arbre TVS;	5.0;	750;	1000;	1000
5d;	disque baja BJ100;	8.0;	800;	1500;	1500
4d;	disque CG 125  MTR;	5.0;	1000;	2000;	2000
12d;	disque CG 125 3M&V6;	3.0;	700;	1500;	1300
2d;	disque CG 125 JHSY;	13.0;	700;	1500;	1300
11d;	disque CG 125 MTR;	9.0;	1000;	2000;	2000
1d;	disque CG 200 JHSY;	5.0;	1100;	2000;	2000
16d;	disque compté;	20.0;	1400;	2000;	2000
10d;	douille de feu stop;	27.0;	150;	250;	200
15d;	douille de phare;	8.0;	300;	500;	500
4e;	ecrou 10;	82.0;	12;	50;	50
3e;	ecrou 13;	79.0;	15;	50;	50
2e;	ecrou 17;	48.0;	60;	200;	200
1e;	ecrou 19;	47.0;	75;	200;	200
3f;	faiseau CG125 JHSY;	2.0;	2500;	3500;	3000
2f;	faiseau GN 125 JHSY;	4.0;	2500;	3500;	3000
6f;	feu stop en paquet;	4.0;	800;	1200;	1000
10f;	feu stop long;	6.0;	400;	1000;	800
14f;	feu stop rectangle police;	5.0;	1000;	1500;	1300
8f;	feu stop rond gros;	2.0;	1000;	1500;	1300
7f;	feu stop rond petit;	3.0;	600;	1000;	800
9f;	feu stop stop;	4.0;	1000;	1500;	1300
5f;	filtre à essence;	40.0;	75;	200;	200
11f;	fourche CGL SENKE;	1.0;	14000;	18000;	16000
12f;	fourche GN;	1.0;	15000;	18000;	16500
13f;	fronde;	95.0;	125;	200;	200
1f;	fusible;	97.0;	25;	100;	100
17g;	gante arrière CGL;	1.0;	14500;	17000;	16000
15g;	garde boue arrière GN;	2.0;	2800;	4000;	3500
13g;	garde boue avant CGL;	4.0;	2700;	3500;	3500
14g;	garde boue avant GN;	2.0;	2700;	3500;	3500
3g;	garniture arrière RS 125 BAJA DAHE;	91.0;	700;	1000;	1000
4g;	garniture avant BAJA AX10025 DAHE;	97.0;	850;	1000;	1000
10g;	garniture CG 125 OTUGO grand;	2.0;	600;	1000;	1000
1g;	garniture CG 125 OTUGO petit;	16.0;	600;	1000;	1000
12g;	garniture gros tricycle;	4.0;	4500;	5000;	5000
11g;	garniture petit tricycle MR LI;	2.0;	4000;	5000;	5000
5g;	garniture RS 125 PHOENIX;	77.0;	850;	1000;	1000
2g;	garniture RX 125 JHSY;	90.0;	850;	1000;	1000
22g;	gente arrière CGL;	2.0;	14500;	17000;	16000
16g;	gente arrière GN;	0.0;	14500;	17000;	16000
18g;	gente arrière TVS;	1.0;	14000;	17000;	16000
9g;	gorge carburateur CG;	2.0;	1000;	1500;	1500
